Gene1	Gene2	pdi	ppi	Dir
1875	7203	1	0	1
1875	7272	1	0	1
1875	7278	1	0	1
1875	7298	1	0	1
1875	7326	1	0	1
1875	7384	1	0	1
1875	7443	1	0	1
1875	7453	1	0	1
1875	7465	1	0	1
1875	7468	1	0	1
1875	7507	1	0	1
1875	7514	0	1	0
1875	7516	1	0	1
1875	7534	1	0	1
1875	7541	1	0	1
1875	7779	1	0	1
1875	7867	1	0	1
1875	7905	1	0	1
1875	7915	1	0	1
1875	7965	1	0	1
1875	8115	1	0	1
1875	8165	1	0	1
1875	8243	1	0	1
1875	8270	1	0	1
1875	8317	1	0	1
1875	8318	1	0	1
1875	8438	1	0	1
1875	8519	1	0	1
1875	8520	1	0	1
1875	8533	1	0	1
1875	8553	1	0	1
1875	8621	1	0	1
1875	8662	1	0	1
1875	8739	1	0	1
1875	8819	1	0	1
1875	8833	1	0	1
1875	8836	1	0	1
1875	8930	1	0	1
1875	9088	1	0	1
1875	9123	1	0	1
1875	9130	1	0	1
1875	9133	1	0	1
1875	9134	1	0	1
1875	9156	1	0	1
1875	9184	1	0	1
1875	9212	1	0	1
1875	9214	1	0	1
1875	9221	1	0	1
1875	9232	1	0	1
1875	9235	1	0	1
1875	9249	1	0	1
1875	9319	1	0	1
1875	9322	1	0	1
1875	9377	1	0	1
1875	9521	1	0	1
1875	9533	1	0	1
1875	9551	1	0	1
1875	9631	1	0	1
1875	9672	1	0	1
1875	9681	1	0	1
1875	9712	1	0	1
1875	9728	1	0	1
1875	9761	1	0	1
1875	9768	1	0	1
1875	9771	1	0	1
1875	9775	1	0	1
1875	9787	1	0	1
1875	9788	1	0	1
1875	9793	1	0	1
1875	9811	1	0	1
1875	9817	1	0	1
1875	9833	1	0	1
1875	9837	1	0	1
1875	9975	1	0	1
1875	10006	1	0	1
1875	10024	1	0	1
1875	10036	1	0	1
1875	10051	1	0	1
1875	10063	1	0	1
1875	10123	1	0	1
1875	10131	1	0	1
1875	10196	1	0	1
1875	10213	1	0	1
1875	10293	1	0	1
1875	10383	1	0	1
1875	10403	1	0	1
1875	10440	1	0	1
1875	10492	1	0	1
1875	10527	1	0	1
1875	10528	1	0	1
1875	10535	1	0	1
1875	10574	1	0	1
1875	10598	1	0	1
1875	10606	1	0	1
1875	10611	1	0	1
1875	10615	1	0	1
1875	10628	1	0	1
1875	10635	1	0	1
1875	10659	1	0	1
1875	10681	1	0	1
1875	10714	1	0	1
1875	10750	1	0	1
1875	10788	1	0	1
1875	10797	1	0	1
1875	10856	1	0	1
1875	10908	1	0	1
1875	10969	1	0	1
1875	11004	1	0	1
1875	11009	1	0	1
1875	11020	1	0	1
1875	11113	1	0	1
1875	11130	1	0	1
1875	11169	1	0	1
1875	11329	1	0	1
1875	11332	1	0	1
1875	11339	1	0	1
1875	11346	1	0	1
1875	22823	1	0	1
1875	22856	1	0	1
1875	22861	1	0	1
1875	22863	1	0	1
1875	22882	1	0	1
1875	22930	1	0	1
1875	22948	1	0	1
1875	22974	1	0	1
1875	22978	1	0	1
1875	23038	1	0	1
1875	23063	1	0	1
1875	23179	1	0	1
1875	23186	1	0	1
1875	23191	1	0	1
1875	23216	1	0	1
1875	23224	1	0	1
1875	23234	1	0	1
1875	23244	1	0	1
1875	23271	1	0	1
1875	23277	1	0	1
1875	23310	1	0	1
1875	23384	1	0	1
1875	23395	1	0	1
1875	23397	1	0	1
1875	23481	1	0	1
1875	23526	1	0	1
1875	23558	1	0	1
1875	23564	1	0	1
1875	23598	1	0	1
1875	23649	1	0	1
1875	23759	1	0	1
1875	25804	1	0	1
1875	25829	1	0	1
1875	25841	1	0	1
1875	25941	1	0	1
1875	26509	1	0	1
1875	26999	1	0	1
1875	27089	1	0	1
1875	27258	1	0	1
1875	27314	1	0	1
1875	27346	1	0	1
1875	27351	1	0	1
1875	29780	1	0	1
1875	29893	1	0	1
1875	29901	1	0	1
1875	30968	1	0	1
1875	51042	1	0	1
1875	51491	1	0	1
1875	51512	1	0	1
1875	51668	1	0	1
1875	51669	1	0	1
1875	53335	1	0	1
1875	54014	1	0	1
1875	54205	1	0	1
1875	54700	1	0	1
1875	55215	1	0	1
1875	55651	1	0	1
1875	56242	1	0	1
1875	56941	1	0	1
1875	57418	1	0	1
1875	57658	1	0	1
1875	58528	1	0	1
1875	79022	1	0	1
1875	79090	1	0	1
1875	79161	1	0	1
1875	79703	1	0	1
1875	81620	1	0	1
