## There are #18 experiments in this file			
## 001 -- alpha_factor_release_sample013			
## 002 -- alpha_factor_release_sample014			
## 003 -- alpha_factor_release_sample015			
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015
ylr115w	-0.07	-0.69	-0.34
ylr116w	-0.19	0.35	0.15
ylr117c	-0.17	-0.29	-0.37
ylr118c	NA	0.15	-0.15
ylr119w	0.8	1.69	0.38
ylr120c	1.74	1.29	1.27
ylr121c	0.72	0.9	0.79
ylr123c	0.27	0.11	-0.05
ylr124w	-0.04	-0.88	-0.7
ylr125w	0.1	-0.28	-0.2
ylr126c	-0.16	-0.06	-0.51
ylr127c	0.14	-0.37	-0.2
yll050c	0.31	0.21	0.42
ylr128w	0.41	0.15	0.27
ylr129w	0.25	-1.46	-0.86
ylr130c	-0.2	-0.18	-0.25
ylr131c	-0.93	-0.24	-0.82
yll049w	0.01	-0.3	-0.7
ylr132c	-0.1	0.29	0.47
ylr133w	0.67	0.67	0.68
ylr134w	0.43	0.1	0.53
yll048c	0.25	-0.25	0.07
ylr135w	0.46	0.12	0.51
ylr136c	0.44	0.43	1.15
ylr137w	0.04	-0.6	0.37
ylr138w	0.28	0.02	-0.06
ylr139c	-0.13	0.95	-0.28
ylr140w	-0.09	-0.15	-0.29
ylr142w	-0.28	0.1	-0.08
ylr143w	0.15	-0.11	-0.14
