## There are #18 experiments in this file			
## 001 -- alpha_factor_release_sample013			
## 002 -- alpha_factor_release_sample014			
## 003 -- alpha_factor_release_sample015			
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015
ynl285w	0.65	0.49	0.61
yol166c	0.49	0.47	-0.02
yor354c	-0.23	-0.46	0.09
yor355w	-0.55	-0.69	-0.62
yor356w	-0.11	0.42	-0.22
yor357c	-0.53	-0.21	-0.16
yor358w	-0.43	0.18	-0.38
yor359w	-0.01	-0.21	-0.82
yor360c	0.27	0.03	-0.87
yol115w	-0.36	-1.07	-0.42
yor361c	0.05	-0.42	-0.62
yor362c	0.05	0.43	0.07
yor363c	0.01	-0.02	-0.21
yor364w	-0.39	0.12	-0.31
yor365c	-0.17	0.52	-0.05
yor366w	-0.13	0.28	-0.33
yor367w	0.14	-0.03	-0.14
yor368w	-0.91	-0.74	-1.04
yor369c	0.42	0.11	-0.08
yor370c	-0.42	-0.52	-0.15
yor371c	-0.59	-0.44	-0.5
yol114c	-0.52	-0.53	-0.23
yor372c	-1.27	NA	-0.83
yor373w	-0.65	-0.49	-0.04
yor374w	-0.64	2.2	2.16
yor375c	0.7	-0.21	-0.8
yor376w	-0.01	0.09	0.15
yol113w	-0.54	-0.88	0.48
yor377w	0	-0.65	-0.71
yor378w	-0.23	-0.54	-0.2
yor379c	-0.29	0.62	-0.35
yor380w	NA	-0.72	-0.46
yor381w	-1.22	0.04	-0.19
yor382w	-0.49	0.1	0.28
yor383c	-0.36	-0.65	-0.49
yor384w	0.28	-0.43	-0.76
yor385w	NA	0.15	-0.1
yor386w	-0.19	0.85	-0.08
yol112w	-0.33	-0.24	-0.24
yor388c	-0.72	2.14	-0.84
yor391c	-0.38	-0.52	0.13
yor392w	-1.55	-0.59	-1.74
yor393w	-0.26	NA	0.09
yol111c	-0.04	-0.58	0.3
yol110w	-0.03	-0.19	-0.19
yol109w	-0.05	-0.62	-0.73
yol108c	0.14	-0.14	-0.07
yol107w	0.16	-0.03	0.57
yol106w	1.19	0.96	1.17
yol105c	0.41	0.33	0.85
yol103w	-0.22	-0.39	0.08
yol102c	-0.39	-0.41	-0.74
yol101c	-0.17	-0.88	-1.7
yol100w	0.18	0.16	-0.14
yol099c	NA	0.06	0.13
yol098c	0.29	0.09	-0.28
yol097c	0.03	-0.17	-0.3
yol096c	-0.11	-0.13	-0.47
yol095c	0.56	0.16	0.12
yol094c	-0.18	-0.29	-0.39
yol093w	-0.02	-0.61	0
yol160w	-0.4	0.37	-0.06
yol092w	-0.23	-0.26	-0.85
yol091w	-1.49	-0.77	-0.01
yol090w	-0.53	-0.56	0.69
yol089c	-0.45	-0.34	0.08
yol088c	-0.43	-0.18	0
yol087c	-0.09	-0.07	0.08
yol086c	0.28	0.25	0.2
yol085c	-1.02	-0.64	-0.11
yol084w	-0.25	0.11	-0.37
yol165c	0.29	0.72	-0.08
yol083w	0.27	0.23	0.64
yol082w	0.15	0.78	0.73
yol081w	-0.2	0.8	-0.43
yol080c	0.04	-0.92	-0.5
yol079w	0.07	-0.95	-0.48
yol078w	-0.28	-0.43	-0.52
yol077c	0.16	-0.85	-1.01
yol076w	-0.68	-0.68	-1.07
yol075c	-0.14	0.07	-0.38
yol073c	0.04	0.06	0.18
yol158c	0.69	0.65	0.64
yol072w	-0.13	-0.09	-0.6
yol071w	0.11	0.16	0.15
yol070c	-0.51	0.31	-0.88
yol069w	-0.5	-0.54	-0.58
yol068c	-0.31	-0.18	-0.74
yol067c	0.12	-0.24	0.35
yol066c	-0.42	0.91	-0.43
yol065c	-0.48	-0.65	-0.42
yol064c	-0.02	0.04	0.28
yol063c	-0.12	-0.56	-0.15
yol062c	0.25	0.12	0.28
yol061w	0.09	-0.45	-0.28
yol060c	-0.18	0.33	0.22
yol059w	0.64	1.38	1.36
yol058w	0.66	1.85	2.1
yol057w	0.13	-0.33	-0.04
yol056w	0.1	-0.14	-0.29
yol055c	0.22	-0.07	0.22
yol054w	0.02	-0.12	-0.56
yol053w	-0.22	0.03	0.06
yol052c	-0.01	-0.34	-0.28
yol051w	-0.23	0.3	-0.54
yol050c	-0.24	0.01	-0.15
yol049w	-0.15	0.14	-0.08
yol048c	0.25	0.72	0.44
yol047c	NA	-0.09	-0.2
yol046c	0.36	-0.01	-0.06
yol045w	-0.07	-0.06	-0.33
yol044w	-0.32	-1.07	-0.46
yol043c	-0.23	-0.5	-0.28
yol042w	0.29	-0.27	-0.08
yol041c	0.04	-0.93	-0.61
yol040c	0.41	0.09	0.2
yol039w	0.12	-0.01	-0.14
yol038w	-0.15	-0.51	-0.11
yol037c	0.02	0.15	0.01
yol036w	0.07	-0.07	-0.03
yol035c	0.15	0.26	0.31
yol034w	-0.33	-0.46	0.19
yol033w	-0.21	-0.28	0.04
yol032w	0.14	0.14	0.05
yol031c	-0.42	-0.08	-0.16
yol030w	0.04	0.03	-0.13
yol029c	-0.42	-0.12	-0.83
yol028c	-0.21	-0.34	-0.34
yol027c	-0.06	-0.02	-0.45
yol025w	-0.06	0.32	-0.54
yol024w	0.13	0.34	0.04
yol023w	-0.62	0.06	-0.55
yol022c	0.36	0.04	-0.35
yol021c	-0.07	-0.63	-0.97
yol020w	0.02	-0.31	-0.17
yol155c	0.73	-0.35	-0.92
yol019w	-0.59	NA	-0.27
yol018c	0.07	-0.29	0.4
yol017w	-1.21	-0.69	1.4
yol016c	NA	1.61	1.67
yol015w	-0.52	-1.06	-1.37
yol014w	1.27	-0.36	-0.14
yol013c	0.12	0.27	0.37
yol012c	-1.6	-1	-1.42
yol011w	-0.26	-0.48	1.01
yol010w	0.25	-1.43	-0.7
yol009c	0.58	-0.41	-0.04
yol008w	0.03	-0.57	0.05
yol007c	NA	-1.14	0.86
yol006c	-0.36	-0.77	-0.2
yol005c	-0.8	-0.35	0.01
yol004w	-0.22	-0.23	-0.46
yol003c	-0.06	0.08	-0.06
yol002c	0.61	-0.14	-0.24
yol001w	-0.01	0.31	-0.34
yor001w	0.3	-0.64	-0.79
yor002w	-0.02	-0.02	-0.36
yor003w	-0.01	-0.49	0.31
yor004w	0.07	-0.71	-1.15
yor005c	-0.03	-0.06	-0.47
yor006c	-0.09	-0.51	-0.48
yor007c	0.53	0.09	0.28
yor008c	-0.11	0.08	0.06
yor009w	-0.46	0.53	-0.55
yor010c	-1.28	-1.25	-0.98
yol154w	0.34	0.27	0.39
yor011w	-0.27	-0.47	-0.16
yor012w	-0.08	-0.56	-0.58
yor014w	0.42	0.26	0.62
yor015w	0.18	0.31	0.56
yor016c	0.41	-0.11	-1.28
yor017w	-0.73	-0.56	-0.11
yor018w	1.26	0.24	0.31
yor019w	0.67	0.41	0.68
yol153c	0.04	-0.18	0.02
yor020c	-0.09	-0.06	0.09
yor021c	-0.16	-0.82	-0.53
yor022c	0.06	0.45	0.12
yor023c	-0.04	-0.39	-0.47
yor024w	-0.73	-0.26	-0.76
yor025w	-1.67	1.51	-1.27
yor026w	-1.11	-0.9	-0.59
yor027w	0.25	0.1	0.14
yor028c	-0.85	1.64	-0.66
yor029w	0.07	-0.06	-0.08
yor030w	-0.32	-0.14	NA
yor031w	0.25	-0.05	-0.14
yor032c	-0.5	-0.15	-0.57
yor033c	-0.17	-0.27	0.65
yor034c	-0.05	-0.11	0.03
yor035c	0.07	-0.35	-0.14
yor036w	0.45	0.39	0.19
yor037w	0.07	-0.39	0.14
yor038c	-0.47	-0.39	-0.29
yor039w	-0.23	-0.55	0.12
yor040w	-0.34	-0.38	-0.45
yol152w	0.76	-0.05	0.22
yor041c	0.03	-0.21	0.19
yor042w	-0.07	0.02	0.12
yor043w	0.04	-0.25	-0.15
yor044w	0.08	0.42	0.11
yor045w	0.06	-0.3	0.01
yor046c	0.05	-0.09	-0.58
yor047c	0.03	0.04	-0.01
yor048c	0.04	-0.27	-0.62
yor049c	-0.38	-0.38	-0.69
yor050c	0.92	0.43	-0.23
yor051c	0.29	0.01	-0.35
yor052c	1.4	1.13	NA
yor053w	0.06	-0.19	-0.25
yor054c	-0.05	0.13	-0.79
yor055w	-0.14	0.09	-0.08
yor056c	-0.03	-0.56	-1.31
yor057w	0.04	-0.42	-0.49
yor058c	-1.03	-0.85	-1.22
yol151w	-0.67	0.21	0.29
yor059c	0	-0.34	0
yor060c	-0.1	-0.45	-0.35
yor061w	0.13	-0.39	0.18
yor062c	-0.07	0.4	-0.58
yor063w	0.4	-0.12	0.12
yol150c	-0.83	0.44	0.33
yor064c	-0.43	-0.22	-0.32
yor065w	-0.49	0.01	0.67
yol149w	-0.21	NA	-0.39
yor066w	-0.46	-0.07	0.18
yor067c	-0.22	-0.72	-0.29
yor068c	0.07	-0.12	-0.09
yor069w	0.08	-0.21	0.1
yor070c	-0.42	-0.31	-0.74
yol148c	-0.28	-0.08	-0.37
yor071c	0	-0.28	-0.15
yor072w	-0.49	0.06	-0.08
yor073w	-0.57	-0.37	-0.32
yor074c	-1.6	-0.38	0.45
yor075w	0.78	0.52	0.79
yor076c	-0.53	-0.76	-1.11
yor077w	-0.01	-0.42	0.09
yor078w	-0.25	-0.24	-0.94
yor079c	0.57	0.08	0.24
yor080w	0.12	-1.04	-0.18
yor081c	0.08	-0.15	-0.29
yor082c	-0.5	-0.53	-0.29
yol147c	-0.2	0.26	-0.06
yor083w	-1.15	-1.27	-0.53
yor084w	-0.93	-1.31	-0.27
yor085w	-0.26	-0.59	-0.01
yor086c	-0.2	-0.14	0.06
yol146w	-0.62	-0.3	-0.58
yor087w	-0.13	-0.28	0.1
yor089c	0.18	-0.06	0.05
yor090c	-0.1	0.04	-0.02
yor091w	-0.17	-0.91	-0.57
yor092w	0.08	0.15	0.34
yol145c	-0.15	0.17	-0.64
yor093c	-0.11	0.11	0.02
yor094w	-0.14	-0.14	-0.91
yor095c	0.57	-0.39	-0.47
yor096w	0.28	0.28	-0.33
yor097c	0.11	0.28	0.2
yor098c	-0.03	0.16	-0.6
yor099w	-0.25	-0.45	0.09
yor100c	-0.18	-0.67	-1.56
yor101w	0.04	-0.74	-0.99
yor102w	-0.12	0.06	-0.57
yor103c	0.1	NA	0.24
yor104w	0.2	-0.13	-0.55
yor106w	0.17	-0.05	-0.04
yor107w	0.1	-0.6	-0.28
yor108w	0.36	-0.07	0.26
yor109w	0.05	-0.56	0.13
yor110w	-0.01	-0.32	-0.01
yor111w	-0.06	0.09	0.81
yol144w	-0.26	-0.66	-1.19
yor112w	-0.5	-0.53	-0.12
yor113w	-0.53	-0.24	0.04
yor114w	-0.4	-0.19	0.17
yor115c	0.01	-0.31	0.24
yor116c	0.21	-0.58	-0.24
yor117w	0.17	-0.12	0.53
yol143c	0.02	-0.31	-0.33
yor118w	-0.18	-0.83	-0.87
yor119c	-0.01	-0.9	-0.63
yor120w	0.25	0.58	0.61
yor121c	-0.02	0.7	0.38
yor122c	0.13	0.49	0.18
yor123c	0	0.89	-0.65
yor124c	-0.02	-0.05	0.23
yol142w	-0.05	-0.69	-1.08
yor125c	0.06	0.05	-0.15
yor126c	0.06	-0.03	-0.18
yor127w	0.38	0.39	0.29
yor128c	-0.43	1.81	0.6
yol141w	0.17	0.15	-0.79
yor129c	0.52	-0.19	-0.86
yor130c	1.33	1.19	1.07
yor131c	0.12	0.04	0.71
yor132w	0.06	0.42	0.68
yor133w	0.5	-0.38	0.52
yor134w	1.61	1.16	0.57
yor135c	0.38	0.35	0.37
yor136w	0.39	0.15	0.57
yor137c	1.1	1.3	0.82
yor138c	-0.3	-0.4	0.13
yor139c	-0.16	-0.36	-0.63
yor140w	-0.5	-0.51	-0.67
yol140w	0.05	-0.37	-0.85
yor141c	-0.27	-0.65	-0.22
yor142w	-0.05	0.46	0.27
yor143c	-0.02	0.1	-0.08
yor144c	-0.73	-0.25	0.21
yol139c	0.02	-0.51	-0.23
yor145c	-0.01	-0.66	-1.03
yor146w	-0.12	-1.18	-1.15
yor147w	NA	0.35	-0.49
yor148c	-0.21	0.16	-0.28
yor149c	0.28	0.06	0.68
yor150w	-0.07	0.06	-0.04
yor151c	-0.17	-0.08	-0.58
yol138c	-0.34	-0.26	-0.55
yol164w	0.7	0.41	0.43
yor152c	-0.13	0.11	-0.32
yor153w	-0.39	-0.71	-0.97
yor154w	0	-0.68	-0.29
yor155c	0.03	-0.04	0.22
yor156c	-0.31	-0.6	-0.18
yor157c	-0.01	-0.17	0.16
yor158w	-0.27	-0.34	0.02
yor159c	-0.1	-0.48	-0.16
yor160w	-0.22	-0.45	-0.41
yor161c	-1.17	0.05	-0.23
yor162c	-0.23	-0.41	-0.14
yor163w	-0.03	-0.31	-0.09
yor164c	-0.03	-0.05	-0.09
yor165w	-0.12	-0.35	-0.1
yor166c	-0.12	0.03	-0.17
yor167c	0.41	0.01	-0.06
yor168w	0.08	-0.21	-0.39
yor169c	0.38	-0.31	-0.33
yor170w	-0.28	0.02	-0.43
yor171c	-0.07	-0.04	-0.52
yor172w	-0.37	-0.34	-0.4
yol137w	0.49	0.27	0.39
yor173w	-0.47	0.97	0.49
yor174w	-0.04	-0.49	-0.34
yor175c	-0.56	-0.72	-0.81
yor176w	-0.2	0.35	0.08
yor177c	0.35	-0.35	-0.14
yor178c	-0.32	-0.56	-0.54
yor179c	-0.05	-0.61	-0.6
yor180c	0.04	0.2	0.08
yol136c	0.32	0.33	0.61
yor181w	0	0.41	0.26
yor182c	0.16	0.05	0.07
yor183w	0.1	0.38	-0.82
yor184w	0.09	0.46	0.84
yor185c	0.29	0.36	0.41
yor186w	0.24	0.51	0.48
yor187w	0.08	0.18	0.42
yor188w	-0.15	-1.2	-0.59
yor189w	-0.02	-0.07	0.12
yor190w	-0.12	0.2	-0.27
yor191w	-0.12	-0.01	-0.52
yor192c	-0.18	-0.08	-0.49
yol134c	-0.23	0.04	0.14
yol133w	0.12	-0.35	0.02
yor193w	0.82	0.67	0.52
yor194c	-0.35	0.13	-0.28
yor195w	-0.24	-0.24	-0.03
yol132w	0.03	-0.33	-0.11
yor196c	NA	0.24	-0.5
yor197w	-0.4	0.43	-1.51
yor198c	0.11	1.12	-0.01
yor199w	0.12	0.29	-0.09
yor201c	-0.02	1.23	-0.14
yor202w	0.17	0.68	0.96
yor204w	0.07	-1.01	-0.52
yor205c	-0.08	-0.83	-0.33
yor206w	0	-1.47	-1.07
yor207c	0.35	-0.63	-0.48
yol131w	-0.03	-0.79	-0.1
yor208w	0.52	0.12	0.07
yor209c	0.5	-0.07	0.2
yor210w	-0.01	-0.06	-0.36
yor211c	-0.41	-0.01	-0.31
yor212w	0.32	-0.32	-0.57
yol130w	0.21	-0.1	0.14
yor213c	0.17	-0.52	-0.24
yor214c	-0.49	-0.14	-1.47
yor215c	0.48	0.55	0.29
yor216c	-0.18	-0.07	-0.35
yor217w	-0.1	-0.44	-0.44
yor218c	-0.2	0.1	-0.5
yor219c	0.62	0.73	0.29
yor220w	1.22	1	0.07
yor221c	0.14	0.01	0.18
yor222w	-0.14	0.2	-0.03
yor223w	-0.18	-0.05	-0.29
yor224c	0.01	-0.23	-0.83
yor225w	1.18	-0.81	0
yor226c	0.02	-0.19	-0.36
yor227w	-0.53	-0.23	0.36
yor228c	NA	0.2	-0.27
yor229w	0.23	-0.23	-0.57
yor230w	-0.55	-0.2	-0.27
yor231w	0.22	-0.06	0.29
yor232w	0.03	0.1	0.07
yol129w	-0.01	-0.05	0.31
yor233w	-0.47	-1.11	-0.73
yor234c	-0.07	-0.15	-0.28
yor235w	-0.48	-1.9	-0.57
yor236w	-0.02	-0.6	-0.53
yor237w	-0.05	-0.61	-0.06
yol128c	0.3	0.07	0.65
yor238w	0.71	0.34	0.19
yor239w	0.4	-0.03	0.15
yor241w	0.02	1.32	-0.17
yor242c	-0.14	-0.46	-0.5
yor243c	0.17	1.1	-0.44
yor244w	-0.38	-0.65	-0.98
yor245c	0.16	0.03	0.21
yor246c	-0.55	-0.74	-0.92
yal025c	0.34	-1.35	-0.43
yor247w	NA	-2.5	-1.01
yor249c	-0.08	-0.39	-0.05
yor250c	-0.17	-0.47	-0.18
yor251c	-0.35	-0.65	-0.29
yol127w	0.49	0.25	0.12
yor252w	0.04	-0.95	-0.77
yor253w	0.01	-0.54	0.02
yor254c	-0.04	-0.31	0.05
yor255w	0	-0.2	0.1
yal066w	0.37	-0.53	0.45
yor256c	0.18	0.06	0.45
yor257w	0.02	-0.3	-0.23
yor258w	-0.25	-0.43	-0.4
yor259c	-0.08	-0.32	0.2
yor260w	0.04	-0.32	-0.13
yor261c	0.01	-0.38	-0.03
yor262w	-0.21	-1.41	-0.66
yol126c	0.49	1.29	0.73
yor263c	-1.88	-1.66	-1.6
yor264w	-1.64	-0.83	-1.91
yal024c	-0.05	-0.09	-0.36
yor265w	0.11	NA	0.16
yor266w	-0.77	-1.29	-1.17
yor267c	0.62	0.51	0.3
yor268c	-0.16	-0.53	0.54
yor269w	-0.01	-0.08	-0.03
yor270c	0.11	-0.29	-0.61
yor271c	0.25	-0.36	-0.14
yor272w	-0.09	-0.76	-1.69
yor273c	1.16	1.43	0.6
yor274w	0.01	-0.56	-0.26
yal023c	-0.38	-0.94	-0.15
yol125w	-0.15	-0.94	-1.02
yor275c	-0.09	-0.19	0.21
yor276w	-0.07	-0.3	-0.43
yor277c	-0.18	-0.57	-0.17
yor278w	-0.17	-0.3	-0.06
yor279c	-0.3	-0.72	0.03
yor280c	0.31	-0.13	0.21
yor281c	0.15	-0.29	0.34
yor282w	0.11	0.01	0.08
yal022c	-0.16	-0.32	0.29
yor284w	-0.38	-0.04	0.56
yor285w	0.51	0.56	0.97
yor286w	0.02	NA	-0.48
yor287c	0.77	-0.87	-0.92
yor288c	-0.14	-0.46	-0.47
yor289w	0.29	0.44	0.68
yol124c	-0.41	-1.87	NA
yor290c	0.62	0.72	-0.6
yor291w	-0.1	-0.14	0.1
yor292c	0.91	0.95	0.64
yal021c	-0.18	-0.2	-0.21
yor293w	0.2	0.21	0.11
yor294w	-0.19	-0.99	-1.47
yor295w	0.03	NA	-0.72
yor296w	0.06	-0.66	-0.53
yor297c	0.27	NA	-0.35
yor298w	-0.54	-0.24	-0.38
yor299w	-0.04	-0.63	0.07
yol123w	-0.32	0.12	0.09
yal020c	0.03	-0.24	-0.02
yor301w	-1.1	-1.31	-0.31
yor302w	0.35	1.02	0.77
yor303w	0.28	1.02	0.95
yor304w	-0.22	-0.39	-0.27
yor305w	-0.45	-0.8	-0.06
yor306c	0.97	-0.29	-0.33
yor307c	-0.56	-0.93	-0.58
yor308c	-0.26	-0.45	-0.23
yal019w	0	-0.72	-0.09
yor310c	-0.09	-0.42	-1.01
yol122c	-0.71	0.1	-0.84
yor311c	-0.16	-0.13	-0.54
yor312c	-0.06	0.03	-0.36
yor313c	-1.15	-1.12	-1.43
yor314w	-1.1	-0.76	-1.65
yor315w	-1.57	-0.28	-1.92
yor316c	-0.17	0.29	0.02
yor317w	-0.16	0.14	0.43
yor318c	-0.6	-0.65	-0.8
yal065c	0.08	0.13	0.25
yor319w	-0.3	NA	-0.38
yor320c	-0.52	-0.37	-0.18
yor321w	-0.91	-0.35	0.11
yor322c	-0.37	-0.32	-0.22
yol121c	1.01	-0.17	-0.21
yor323c	-0.12	-0.57	-0.16
yor324c	-0.52	-1.03	-0.69
yor325w	-0.34	-0.82	-0.6
yor326w	-0.14	-0.68	-0.04
yor327c	0.15	0.18	0.51
yal018c	0.24	-0.25	-0.63
yor328w	-0.27	-0.91	0.02
yol120c	0.07	0.22	-0.14
yor329c	0.12	0.13	0.52
yor330c	-0.75	-1.43	-0.87
yor331c	-0.11	-0.35	0.01
yor332w	-0.04	-0.28	-0.01
yor333c	-0.09	-0.36	-0.17
yor334w	-0.02	-0.31	-0.5
yor335c	0.31	-0.29	-0.44
yol119c	0.08	0.14	0.27
yal017w	-0.14	-0.04	0.2
yor336w	-0.2	-0.28	-0.53
yor337w	0.49	-0.16	-0.47
yor338w	1.67	-0.63	-1
yor339c	-0.06	-0.2	-0.09
yor340c	-0.03	-0.76	-1.2
yol163w	0.62	0.15	0.48
yor341w	0.57	0.43	0.27
yol118c	-0.26	0.21	-0.63
yor342c	1.12	-0.57	-0.02
yol117w	0.22	1.37	0.23
yor344c	1.44	1.49	0.35
yor345c	-0.45	-0.32	-0.66
yor346w	-0.13	0.63	0.04
yor347c	0.67	0.92	1.26
yor348c	-0.07	-0.63	0.24
yor349w	-0.25	-0.68	-0.16
yor350c	-0.22	-0.53	-0.32
yor351c	-0.51	-0.85	0.01
yor352w	-0.12	0.28	0.14
yal016w	0.07	-0.04	-0.01
yol116w	-0.29	-0.42	-0.32
yor353c	0.08	-0.14	0
ypl238c	0.15	-0.22	-0.63
ypl237w	0.23	0.01	0.08
ypl236c	-0.15	-0.43	NA
ypl235w	0.12	-0.21	-0.32
ypl234c	-0.09	-0.3	-0.61
ypl233w	-0.15	-0.56	-0.04
ypl232w	0.2	NA	-0.1
ypl231w	0.18	-0.42	-0.5
yal015c	0.16	-0.5	0.03
ypl230w	0.19	0.05	0
ypl229w	0.26	-0.02	-0.01
ypl228w	-0.17	0.72	-0.25
ypl227c	-0.61	-0.78	0.06
ypl226w	0.45	-0.46	-0.19
ypl225w	0.2	-0.09	0.48
ypl224c	0.29	0.42	0.37
ypl223c	-0.45	-0.2	0.09
ypl222w	0.1	0.15	0.1
yal014c	0.07	0.09	0.02
ypl279c	0.57	-0.12	-0.22
ypl221w	0.1	0.05	1.55
ypl220w	0.5	0.32	0.56
ypl219w	-0.36	-0.32	-0.13
ypl218w	-0.21	-0.19	0.12
ypl217c	0.05	-1.02	-0.94
ypl216w	-0.45	-0.41	-0.26
ypl215w	0.08	-0.16	-0.42
ypl214c	0.04	-0.14	-0.33
ypl278c	-0.09	0.08	-0.42
yal013w	-0.25	-0.09	-0.1
ypl213w	0.04	-0.2	-0.04
ypl212c	-0.06	-0.86	-0.56
ypl211w	0.22	-0.87	-0.64
ypl277c	-0.02	-0.19	-0.09
ypl210c	-0.36	-0.96	-1.07
ypl209c	-0.58	-1.13	0.23
ypl208w	-0.6	-0.71	-0.16
ypl207w	-0.1	-0.96	-0.92
ypl206c	-0.07	0.03	-0.13
ypl205c	0.15	-0.35	-0.26
yal012w	0.28	0.17	0.14
ypl204w	0.19	-0.06	-0.62
ypl203w	0	0.11	0.42
ypl202c	0.01	-0.46	-0.46
ypl201c	0.1	-1.47	-0.34
ypl200w	-0.47	-0.75	-0.47
ypl199c	NA	-0.78	-0.36
ypl198w	0.1	-0.18	0.04
ypl197c	-0.48	-0.73	-0.2
ypl196w	-0.01	0.23	0.13
ypl195w	-0.1	-0.53	-0.03
yal011w	-0.32	-0.16	-0.39
ypl194w	NA	-0.89	0.01
ypl193w	0.85	0.43	0.08
ypl192c	NA	NA	1.62
ypl191c	0.23	1.65	0.35
ypl190c	0.1	1.82	-0.16
ypl189w	0.1	-0.11	-0.19
ypl188w	-0.02	0.07	-0.59
ypl187w	-0.19	-0.46	-0.24
ypl186c	-1.61	NA	-0.9
ypl185w	-0.18	0.7	-0.56
ypl184c	-1.06	-0.93	-0.99
ypl183c	0.23	-1.26	-1.07
ypl182c	0.03	-0.29	NA
ypl181w	0.26	0.41	-0.04
ypl180w	-0.9	-0.6	-1.14
ypl179w	0.2	-0.07	0.12
yal010c	-0.25	-0.45	-0.11
ypl177c	0.71	0.1	-0.25
ypl176c	-0.21	0.41	0.07
ypl175w	0.13	-0.62	-0.38
ypl174c	-0.29	-0.53	-0.47
ypl173w	-0.03	-0.28	0.22
ypl172c	-0.34	-0.31	0
ypl171c	-0.36	-0.22	-0.21
ypl170w	-0.14	-0.13	0.13
ypl169c	-0.21	-0.71	-0.23
ypl274w	0.45	0.7	0.99
yal009w	-0.24	-0.43	0.15
ypl168w	-0.16	-0.21	0.04
ypl167c	-0.25	-0.17	-0.09
ypl166w	0.08	1.4	0.13
ypl165c	0.34	0.58	0.5
ypl164c	-1.53	0.58	-0.95
ypl163c	NA	-2.12	0.82
ypl162c	-0.76	-0.53	-0.99
ypl161c	-0.61	-0.17	-0.31
ypl160w	0.06	-0.24	-0.19
ypl273w	0.32	-0.2	0.13
yal008w	-0.21	-0.08	0.27
ypl159c	0.23	0.18	-0.4
ypl158c	NA	-2.57	NA
ypl157w	0.46	-0.28	-1.18
ypl156c	NA	-0.19	-1.52
ypl155c	-0.86	-0.86	-0.51
ypl154c	0.46	0.62	0.93
ypl153c	-0.86	-0.35	0.82
ypl152w	-0.35	0.24	0.41
ypl272c	-0.37	-0.4	0.2
ypl151c	-0.21	-0.67	-0.09
yal007c	-0.14	-0.02	0.32
ypl150w	-0.73	-0.02	-0.24
ypl149w	0.66	-0.25	0
ypl148c	-0.16	0.12	-0.27
ypl147w	-0.18	-0.45	-0.1
ypl146c	0.13	-1.04	-0.72
ypl145c	-0.19	-0.26	0.19
ypl144w	-1.08	-0.7	-1.05
ypl143w	0.33	-0.05	-0.05
ypl142c	0.13	0.23	-0.39
yal005c	0.2	0.17	0.17
ypl141c	-1.68	-0.65	-2
ypl140c	-0.25	0.13	-0.22
ypl139c	0.01	0.01	-0.17
ypl138c	-0.41	1.67	-0.73
ypl137c	0.11	0.62	0.57
ypl136w	0.18	0.83	0.46
ypl135w	0.98	1.65	1.23
ypl134c	-0.17	0.22	-0.22
ypl133c	-0.42	-0.45	NA
ypl271w	0.03	-0.05	0.34
yal004w	0.56	0.19	0.49
ypl132w	0.26	-0.36	-0.3
ypl131w	0.12	-0.46	-0.2
ypl270w	0.1	-0.09	0.47
ypl130w	-1.38	-0.23	-1.11
ypl129w	0.01	-0.43	-0.06
ypl128c	-0.86	-0.89	-1.01
ypl127c	-1.36	-1.25	-1.27
ypl126w	-0.2	0.24	-1.52
ypl125w	-0.03	-0.39	0
ypl124w	-0.89	-0.54	0.55
yal003w	0.11	-0.16	0.38
ypl123c	-0.24	0.76	0.96
ypl122c	0.04	-0.3	0.07
ypl121c	-0.07	-0.5	0.04
ypl120w	-0.4	-0.15	-0.01
ypl119c	NA	0.07	-0.27
ypl118w	-0.35	-0.36	-0.56
ypl117c	NA	-0.48	-0.31
ypl116w	-1.08	-0.38	-1.2
ypl269w	-0.83	NA	-0.64
ypl115c	NA	0.73	-0.36
yal002w	-0.21	-0.05	-0.18
ypl114w	-0.57	-0.78	-0.92
ypl113c	-0.48	-0.04	0.19
ypl112c	-0.35	-0.19	-0.39
ypl111w	0.32	0.14	1.06
ypl110c	0.22	0.29	-0.02
ypl109c	0.27	-0.71	0.23
ypl108w	0.21	0.07	-0.21
ypl107w	0	-0.75	-0.06
ypl106c	0.08	-0.32	0.03
ypl268w	-0.41	-0.56	-0.15
yal001c	-2.07	-0.27	-0.78
ypl105c	-0.39	-0.99	-0.57
ypl104w	-0.12	-0.16	-0.09
ypl103c	-0.39	-0.92	0.09
ypl102c	NA	1.66	-0.63
ypl101w	-0.25	-0.74	-0.18
ypl100w	-0.17	-0.29	-0.14
ypl099c	0.07	0.1	0.42
ypl098c	-0.03	0.01	0.11
ypl097w	-0.26	NA	0.07
ypl096w	-0.01	NA	-0.21
yar002w	0.19	-0.32	-0.16
ypl095c	0	-0.72	-0.48
ypl094c	-0.09	-0.56	-0.71
ypl093w	-0.11	-0.18	-2.56
ypl092w	0.53	1.77	0.92
ypl091w	0.13	NA	-0.01
ypl090c	-0.03	-0.33	-0.5
ypl089c	1.13	-0.1	-0.22
ypl267w	-1.54	-0.34	1.65
ypl088w	NA	2.56	1.84
ypl087w	0.6	NA	0.75
ypl086c	-0.02	-0.56	-0.88
ypl085w	0.22	0.1	-0.18
ypl266w	-0.05	-0.81	-0.5
ypl084w	0	0.25	0.02
ypl083c	-0.26	-0.53	0.23
ypl082c	0.88	0.8	0.91
ypl081w	-0.06	-0.84	0.07
ypl080c	-0.46	-0.6	-0.64
